# Dielectric function (real part, at 0 eV)
 i  j  eps
     1     1   6.77905441480181458758
     1     2   0.01197653454149061325
     1     3  -0.00389821259350775495
     2     1   0.01197653454149061325
     2     2   6.78941013783258018321
     2     3  -0.02030547173732444310
     3     1  -0.00389821259350775495
     3     2  -0.02030547173732444310
     3     3   6.79706962193743180478
