==============================================================================
    step     energy [au]  potential [au]  temp [K]  wall clock time           
     344   -202.02677136   -206.51919360    279.12  2022-01-12 Wed 20:21:59.87
     345   -202.02677303   -206.51971534    278.93  2022-01-12 Wed 20:22:10.71
     346   -202.02677395   -206.52026407    280.19  2022-01-12 Wed 20:22:21.47
     347   -202.02677434   -206.52074675    282.35  2022-01-12 Wed 20:22:32.57
     348   -202.02677362   -206.52106851    283.59  2022-01-12 Wed 20:22:43.29
     349   -202.02677064   -206.52136968    283.54  2022-01-12 Wed 20:22:54.20
     350   -202.02676774   -206.52191044    283.66  2022-01-12 Wed 20:23:04.95
     351   -202.02676750   -206.52278292    284.88  2022-01-12 Wed 20:23:16.18
     352   -202.02677072   -206.52393910    287.27  2022-01-12 Wed 20:23:27.21
     353   -202.02677663   -206.52528638    290.60  2022-01-12 Wed 20:23:38.00
     354   -202.02678444   -206.52670954    294.52  2022-01-12 Wed 20:23:48.76
     355   -202.02679288   -206.52806749    298.11  2022-01-12 Wed 20:23:59.51
     356   -202.02680002   -206.52922667    300.39  2022-01-12 Wed 20:24:10.25
     357   -202.02680412   -206.53012430    301.58  2022-01-12 Wed 20:24:21.57
     358   -202.02680420   -206.53077591    302.72  2022-01-12 Wed 20:24:32.21
     359   -202.02680054   -206.53121058    303.80  2022-01-12 Wed 20:24:42.80
     360   -202.02679434   -206.53144857    303.85  2022-01-12 Wed 20:24:53.39
     361   -202.02678729   -206.53155204    302.97  2022-01-12 Wed 20:25:04.03
     362   -202.02678183   -206.53161842    302.28  2022-01-12 Wed 20:25:14.62
     363   -202.02677835   -206.53169856    302.28  2022-01-12 Wed 20:25:25.26
     364   -202.02677644   -206.53176583    302.94  2022-01-12 Wed 20:25:35.92
     365   -202.02677562   -206.53175142    304.07  2022-01-12 Wed 20:25:46.69
     366   -202.02677494   -206.53160196    304.58  2022-01-12 Wed 20:25:57.47
     367   -202.02677387   -206.53133875    303.79  2022-01-12 Wed 20:26:08.23
     368   -202.02677252   -206.53105838    302.74  2022-01-12 Wed 20:26:18.85
     369   -202.02677098   -206.53087091    302.41  2022-01-12 Wed 20:26:29.57
     370   -202.02676951   -206.53083930    302.76  2022-01-12 Wed 20:26:40.32
     371   -202.02676791   -206.53095602    303.46  2022-01-12 Wed 20:26:51.10
     372   -202.02676640   -206.53116268    304.46  2022-01-12 Wed 20:27:01.85
     373   -202.02676480   -206.53139442    305.76  2022-01-12 Wed 20:27:12.53
     374   -202.02676346   -206.53160334    307.20  2022-01-12 Wed 20:27:23.28
     375   -202.02676257   -206.53175688    308.01  2022-01-12 Wed 20:27:34.01
     376   -202.02676188   -206.53186258    307.65  2022-01-12 Wed 20:27:44.74
     377   -202.02676159   -206.53199217    306.71  2022-01-12 Wed 20:27:55.47
     378   -202.02676175   -206.53223360    306.54  2022-01-12 Wed 20:28:06.22
     379   -202.02676214   -206.53262703    307.23  2022-01-12 Wed 20:28:16.68
     380   -202.02676285   -206.53317578    307.32  2022-01-12 Wed 20:28:27.11
     381   -202.02676398   -206.53387832    306.17  2022-01-12 Wed 20:28:37.57
     382   -202.02676554   -206.53471644    304.99  2022-01-12 Wed 20:28:48.01
     383   -202.02676704   -206.53562225    304.96  2022-01-12 Wed 20:28:58.25
     384   -202.02676829   -206.53646315    305.72  2022-01-12 Wed 20:29:08.53
     385   -202.02676839   -206.53707914    306.02  2022-01-12 Wed 20:29:19.10
     386   -202.02676706   -206.53735072    305.52  2022-01-12 Wed 20:29:29.68
     387   -202.02676398   -206.53718302    304.61  2022-01-12 Wed 20:29:40.34
     388   -202.02675760   -206.53644470    303.74  2022-01-12 Wed 20:29:50.94
     389   -202.02674608   -206.53504888    302.65  2022-01-12 Wed 20:30:01.62
     390   -202.02672926   -206.53315560    300.69  2022-01-12 Wed 20:30:12.39
     391   -202.02671106   -206.53118364    297.60  2022-01-12 Wed 20:30:23.15
     392   -202.02669683   -206.52955801    293.37  2022-01-12 Wed 20:30:33.93
     393   -202.02668937   -206.52852114    289.44  2022-01-12 Wed 20:30:44.71
     394   -202.02668818   -206.52810011    287.08  2022-01-12 Wed 20:30:55.46
     395   -202.02669051   -206.52817319    285.72  2022-01-12 Wed 20:31:06.26
     396   -202.02669415   -206.52860690    284.49  2022-01-12 Wed 20:31:17.98
     397   -202.02669742   -206.52933318    283.20  2022-01-12 Wed 20:31:28.79
     398   -202.02670007   -206.53033653    282.23  2022-01-12 Wed 20:31:39.50
     399   -202.02670246   -206.53165222    282.34  2022-01-12 Wed 20:31:50.27
     400   -202.02670572   -206.53336567    284.17  2022-01-12 Wed 20:32:00.97
     401   -202.02671079   -206.53553532    287.26  2022-01-12 Wed 20:32:11.71
     402   -202.02671733   -206.53801985    289.31  2022-01-12 Wed 20:32:22.42
     403   -202.02672384   -206.54044688    288.96  2022-01-12 Wed 20:32:33.11
     404   -202.02672907   -206.54250384    287.77  2022-01-12 Wed 20:32:44.05
     405   -202.02673145   -206.54407935    286.77  2022-01-12 Wed 20:32:54.76
     406   -202.02673196   -206.54522833    286.77  2022-01-12 Wed 20:33:05.63
     407   -202.02673115   -206.54608123    288.50  2022-01-12 Wed 20:33:16.20
     408   -202.02672973   -206.54669261    291.16  2022-01-12 Wed 20:33:26.79
     409   -202.02672774   -206.54700725    293.46  2022-01-12 Wed 20:33:37.27
     410   -202.02672545   -206.54698236    295.07  2022-01-12 Wed 20:33:47.70
     411   -202.02672305   -206.54666557    295.91  2022-01-12 Wed 20:33:58.21
     412   -202.02672081   -206.54617310    296.33  2022-01-12 Wed 20:34:08.83
     413   -202.02671936   -206.54564161    296.92  2022-01-12 Wed 20:34:19.28
     414   -202.02671877   -206.54516837    297.87  2022-01-12 Wed 20:34:29.71
     415   -202.02671885   -206.54475649    299.50  2022-01-12 Wed 20:34:40.21
     416   -202.02671870   -206.54430500    301.91  2022-01-12 Wed 20:34:51.05
     417   -202.02671650   -206.54371851    304.43  2022-01-12 Wed 20:35:01.62
     418   -202.02671114   -206.54307859    306.48  2022-01-12 Wed 20:35:11.96
     419   -202.02670430   -206.54256415    307.34  2022-01-12 Wed 20:35:22.31
     420   -202.02669802   -206.54227128    306.76  2022-01-12 Wed 20:35:32.75
     421   -202.02669383   -206.54223817    305.52  2022-01-12 Wed 20:35:43.18
     422   -202.02669285   -206.54251555    304.59  2022-01-12 Wed 20:35:53.55
     423   -202.02669556   -206.54315571    304.10  2022-01-12 Wed 20:36:04.14
     424   -202.02670183   -206.54415706    303.80  2022-01-12 Wed 20:36:14.87
     425   -202.02671095   -206.54542755    303.54  2022-01-12 Wed 20:36:25.62
     426   -202.02672089   -206.54679539    302.98  2022-01-12 Wed 20:36:36.38
     427   -202.02672963   -206.54805302    302.17  2022-01-12 Wed 20:36:47.07
     428   -202.02673511   -206.54899301    301.71  2022-01-12 Wed 20:36:57.87
     429   -202.02673461   -206.54940778    301.84  2022-01-12 Wed 20:37:08.60
     430   -202.02672784   -206.54915181    301.43  2022-01-12 Wed 20:37:19.34
     431   -202.02671796   -206.54835069    299.79  2022-01-12 Wed 20:37:30.11
     432   -202.02670792   -206.54734352    297.54  2022-01-12 Wed 20:37:40.75
     433   -202.02669929   -206.54641905    295.31  2022-01-12 Wed 20:37:51.32
     434   -202.02669321   -206.54574852    293.72  2022-01-12 Wed 20:38:01.58
     435   -202.02669054   -206.54541011    293.01  2022-01-12 Wed 20:38:11.98
     436   -202.02669104   -206.54540819    293.03  2022-01-12 Wed 20:38:22.44
     437   -202.02669348   -206.54568569    293.39  2022-01-12 Wed 20:38:33.31
     438   -202.02669661   -206.54613851    293.62  2022-01-12 Wed 20:38:43.75
     439   -202.02669866   -206.54664542    293.59  2022-01-12 Wed 20:38:54.08
     440   -202.02669923   -206.54711346    293.80  2022-01-12 Wed 20:39:04.56
     441   -202.02669848   -206.54751569    294.76  2022-01-12 Wed 20:39:14.99
     442   -202.02669735   -206.54788960    296.51  2022-01-12 Wed 20:39:25.42
     443   -202.02669707   -206.54829628    298.88  2022-01-12 Wed 20:39:35.93
     444   -202.02669834   -206.54878083    301.75  2022-01-12 Wed 20:39:46.28
     445   -202.02670156   -206.54935253    305.01  2022-01-12 Wed 20:39:56.91
     446   -202.02670729   -206.54995052    308.04  2022-01-12 Wed 20:40:07.75
     447   -202.02671434   -206.55039429    309.79  2022-01-12 Wed 20:40:18.47
     448   -202.02672155   -206.55044897    310.52  2022-01-12 Wed 20:40:29.27
     449   -202.02672719   -206.54997536    311.06  2022-01-12 Wed 20:40:40.00
     450   -202.02673021   -206.54895071    311.40  2022-01-12 Wed 20:40:50.72
     451   -202.02673000   -206.54740562    311.68  2022-01-12 Wed 20:41:01.35
     452   -202.02672617   -206.54535807    312.09  2022-01-12 Wed 20:41:11.82
     453   -202.02671806   -206.54276104    312.50  2022-01-12 Wed 20:41:22.77
     454   -202.02670520   -206.53953802    312.78  2022-01-12 Wed 20:41:33.30
     455   -202.02668655   -206.53574628    312.04  2022-01-12 Wed 20:41:43.79
     456   -202.02666248   -206.53178254    309.81  2022-01-12 Wed 20:41:54.27
     457   -202.02663957   -206.52826843    307.05  2022-01-12 Wed 20:42:04.83
     458   -202.02662602   -206.52568008    304.69  2022-01-12 Wed 20:42:15.24
     459   -202.02662549   -206.52418540    302.84  2022-01-12 Wed 20:42:25.57
     460   -202.02663523   -206.52369740    301.60  2022-01-12 Wed 20:42:36.21
     461   -202.02665075   -206.52397224    301.23  2022-01-12 Wed 20:42:46.86
     462   -202.02666631   -206.52470953    301.57  2022-01-12 Wed 20:42:57.68
     463   -202.02667888   -206.52564164    302.07  2022-01-12 Wed 20:43:08.54
     464   -202.02668788   -206.52658657    302.05  2022-01-12 Wed 20:43:19.27
     465   -202.02669330   -206.52743850    301.19  2022-01-12 Wed 20:43:30.15
     466   -202.02669584   -206.52810373    299.63  2022-01-12 Wed 20:43:40.94
     467   -202.02669594   -206.52847748    297.61  2022-01-12 Wed 20:43:51.64
     468   -202.02669370   -206.52850395    295.52  2022-01-12 Wed 20:44:02.38
     469   -202.02669014   -206.52821547    293.58  2022-01-12 Wed 20:44:13.21
     470   -202.02668571   -206.52770911    291.67  2022-01-12 Wed 20:44:23.84
     471   -202.02668168   -206.52711113    289.83  2022-01-12 Wed 20:44:34.48
     472   -202.02667829   -206.52653380    288.72  2022-01-12 Wed 20:44:45.06
     473   -202.02667584   -206.52599482    288.52  2022-01-12 Wed 20:44:55.89
     474   -202.02667371   -206.52539001    287.46  2022-01-12 Wed 20:45:06.55
     475   -202.02667135   -206.52471258    285.95  2022-01-12 Wed 20:45:17.52
     476   -202.02666903   -206.52410692    286.03  2022-01-12 Wed 20:45:28.01
     477   -202.02666765   -206.52366678    287.12  2022-01-12 Wed 20:45:38.43
     478   -202.02666722   -206.52339891    287.70  2022-01-12 Wed 20:45:48.73
     479   -202.02666753   -206.52325975    287.68  2022-01-12 Wed 20:45:59.17
     480   -202.02666860   -206.52317995    288.31  2022-01-12 Wed 20:46:09.55
     481   -202.02667013   -206.52306387    290.25  2022-01-12 Wed 20:46:19.90
     482   -202.02667154   -206.52279302    292.91  2022-01-12 Wed 20:46:30.61
     483   -202.02667192   -206.52226328    295.32  2022-01-12 Wed 20:46:41.21
     484   -202.02667014   -206.52144700    296.56  2022-01-12 Wed 20:46:51.87
     485   -202.02666584   -206.52044798    296.29  2022-01-12 Wed 20:47:02.48
     486   -202.02666008   -206.51945582    295.53  2022-01-12 Wed 20:47:13.23
     487   -202.02665452   -206.51865027    295.32  2022-01-12 Wed 20:47:23.89
     488   -202.02664986   -206.51815147    295.75  2022-01-12 Wed 20:47:34.32
     489   -202.02664714   -206.51801165    296.67  2022-01-12 Wed 20:47:44.75
     490   -202.02664607   -206.51824882    298.11  2022-01-12 Wed 20:47:55.30
     491   -202.02664621   -206.51888158    300.34  2022-01-12 Wed 20:48:05.79
     492   -202.02664764   -206.51990713    303.51  2022-01-12 Wed 20:48:16.21
     493   -202.02665003   -206.52126485    307.36  2022-01-12 Wed 20:48:26.80
     494   -202.02665321   -206.52283882    311.50  2022-01-12 Wed 20:48:37.41
     495   -202.02665633   -206.52449166    315.61  2022-01-12 Wed 20:48:48.16
     496   -202.02665911   -206.52609449    319.20  2022-01-12 Wed 20:48:58.99
     497   -202.02666083   -206.52754223    321.72  2022-01-12 Wed 20:49:09.63
     498   -202.02666149   -206.52877366    323.15  2022-01-12 Wed 20:49:20.41
     499   -202.02666141   -206.52977796    323.53  2022-01-12 Wed 20:49:31.09
     500   -202.02666083   -206.53056969    323.17  2022-01-12 Wed 20:49:41.76
     501   -202.02665978   -206.53114983    322.86  2022-01-12 Wed 20:49:52.43
     502   -202.02665838   -206.53149301    323.27  2022-01-12 Wed 20:50:03.14
     503   -202.02665644   -206.53156233    324.39  2022-01-12 Wed 20:50:13.75
     504   -202.02665359   -206.53131652    325.10  2022-01-12 Wed 20:50:24.34
     505   -202.02664945   -206.53074123    324.17  2022-01-12 Wed 20:50:35.12
     506   -202.02664448   -206.52991954    322.18  2022-01-12 Wed 20:50:45.83
     507   -202.02663911   -206.52900075    320.24  2022-01-12 Wed 20:50:56.41
     508   -202.02663412   -206.52808452    318.58  2022-01-12 Wed 20:51:07.13
     509   -202.02662964   -206.52718468    317.39  2022-01-12 Wed 20:51:17.74
     510   -202.02662551   -206.52626743    316.78  2022-01-12 Wed 20:51:28.31
     511   -202.02662098   -206.52531070    315.96  2022-01-12 Wed 20:51:38.95
     512   -202.02661556   -206.52436999    314.00  2022-01-12 Wed 20:51:49.58
     513   -202.02661001   -206.52358717    311.30  2022-01-12 Wed 20:52:00.19
     514   -202.02660566   -206.52310919    308.80  2022-01-12 Wed 20:52:10.83
     515   -202.02660353   -206.52299843    307.03  2022-01-12 Wed 20:52:21.41
     516   -202.02660372   -206.52319908    306.69  2022-01-12 Wed 20:52:32.11
     517   -202.02660584   -206.52352812    307.10  2022-01-12 Wed 20:52:42.77
     518   -202.02660670   -206.52376414    305.17  2022-01-12 Wed 20:52:53.50
     519   -202.02660580   -206.52381510    302.36  2022-01-12 Wed 20:53:04.24
     520   -202.02660245   -206.52365892    299.61  2022-01-12 Wed 20:53:14.99
     521   -202.02659744   -206.52335412    297.40  2022-01-12 Wed 20:53:25.98
     522   -202.02659248   -206.52302446    296.31  2022-01-12 Wed 20:53:37.07
     523   -202.02658892   -206.52278380    296.10  2022-01-12 Wed 20:53:47.79
     524   -202.02658785   -206.52269710    296.31  2022-01-12 Wed 20:53:58.33
     525   -202.02658927   -206.52273133    296.82  2022-01-12 Wed 20:54:08.88
     526   -202.02659077   -206.52271855    297.00  2022-01-12 Wed 20:54:19.46
     527   -202.02658908   -206.52248453    296.00  2022-01-12 Wed 20:54:30.41
     528   -202.02658269   -206.52205145    293.88  2022-01-12 Wed 20:54:41.01
     529   -202.02657368   -206.52166966    291.57  2022-01-12 Wed 20:54:51.42
     530   -202.02656533   -206.52167614    289.78  2022-01-12 Wed 20:55:02.04
     531   -202.02656079   -206.52234173    288.90  2022-01-12 Wed 20:55:13.27
     532   -202.02656242   -206.52378138    289.10  2022-01-12 Wed 20:55:23.96
     533   -202.02657039   -206.52591355    289.75  2022-01-12 Wed 20:55:34.70
     534   -202.02658244   -206.52851082    290.16  2022-01-12 Wed 20:55:45.44
     535   -202.02659498   -206.53133136    290.54  2022-01-12 Wed 20:55:56.15
     536   -202.02660625   -206.53419922    291.55  2022-01-12 Wed 20:56:06.83
     537   -202.02661603   -206.53699032    293.56  2022-01-12 Wed 20:56:17.54
     538   -202.02662456   -206.53959017    296.76  2022-01-12 Wed 20:56:28.22
     539   -202.02663293   -206.54182764    300.11  2022-01-12 Wed 20:56:38.93
     540   -202.02663950   -206.54352488    301.34  2022-01-12 Wed 20:56:50.34
     541   -202.02664432   -206.54463888    302.21  2022-01-12 Wed 20:57:01.65
     542   -202.02664642   -206.54516825    303.92  2022-01-12 Wed 20:57:12.36
     543   -202.02664565   -206.54507926    305.34  2022-01-12 Wed 20:57:23.13
     544   -202.02664214   -206.54436369    305.76  2022-01-12 Wed 20:57:33.78
     545   -202.02663673   -206.54307659    305.36  2022-01-12 Wed 20:57:44.50
     546   -202.02662984   -206.54134241    304.56  2022-01-12 Wed 20:57:55.24
     547   -202.02662236   -206.53934689    303.75  2022-01-12 Wed 20:58:05.91
     548   -202.02661494   -206.53729094    303.71  2022-01-12 Wed 20:58:16.62
     549   -202.02660827   -206.53533095    304.76  2022-01-12 Wed 20:58:27.39
     550   -202.02660249   -206.53354784    305.56  2022-01-12 Wed 20:58:38.05
     551   -202.02659763   -206.53196109    305.40  2022-01-12 Wed 20:58:48.79
     552   -202.02659331   -206.53054629    304.38  2022-01-12 Wed 20:58:59.44
     553   -202.02658945   -206.52929248    303.30  2022-01-12 Wed 20:59:10.40
     554   -202.02658626   -206.52823614    302.82  2022-01-12 Wed 20:59:21.10
     555   -202.02658410   -206.52742397    302.88  2022-01-12 Wed 20:59:31.79
     556   -202.02658304   -206.52686287    303.31  2022-01-12 Wed 20:59:42.69
     557   -202.02658305   -206.52649479    304.03  2022-01-12 Wed 20:59:53.50
     558   -202.02658319   -206.52621748    304.91  2022-01-12 Wed 21:00:04.64
     559   -202.02658319   -206.52594514    305.67  2022-01-12 Wed 21:00:15.41
     560   -202.02658276   -206.52566501    306.09  2022-01-12 Wed 21:00:26.29
     561   -202.02658199   -206.52541934    306.14  2022-01-12 Wed 21:00:37.41
     562   -202.02658124   -206.52522375    305.74  2022-01-12 Wed 21:00:48.05
     563   -202.02658089   -206.52506500    305.09  2022-01-12 Wed 21:00:58.66
     564   -202.02658109   -206.52497711    304.70  2022-01-12 Wed 21:01:09.32
     565   -202.02658110   -206.52502184    305.00  2022-01-12 Wed 21:01:20.06
     566   -202.02658163   -206.52522209    306.03  2022-01-12 Wed 21:01:31.59
     567   -202.02658173   -206.52558620    307.28  2022-01-12 Wed 21:01:42.68
     568   -202.02658128   -206.52614707    307.75  2022-01-12 Wed 21:01:53.41
     569   -202.02658056   -206.52693118    306.98  2022-01-12 Wed 21:02:04.16
     570   -202.02658038   -206.52793366    305.79  2022-01-12 Wed 21:02:14.78
     571   -202.02658120   -206.52910232    304.92  2022-01-12 Wed 21:02:25.41
     572   -202.02658316   -206.53034111    304.61  2022-01-12 Wed 21:02:36.05
     573   -202.02658573   -206.53155291    304.91  2022-01-12 Wed 21:02:46.65
     574   -202.02658829   -206.53265847    305.81  2022-01-12 Wed 21:02:57.35
     575   -202.02659035   -206.53359917    307.13  2022-01-12 Wed 21:03:07.92
     576   -202.02659149   -206.53435979    308.80  2022-01-12 Wed 21:03:18.53
     577   -202.02659174   -206.53496081    311.01  2022-01-12 Wed 21:03:29.26
     578   -202.02659115   -206.53540043    313.85  2022-01-12 Wed 21:03:39.88
     579   -202.02658946   -206.53560652    316.72  2022-01-12 Wed 21:03:50.44
     580   -202.02658645   -206.53546601    318.51  2022-01-12 Wed 21:04:01.15
     581   -202.02658166   -206.53492378    318.87  2022-01-12 Wed 21:04:11.87
     582   -202.02657462   -206.53403486    318.73  2022-01-12 Wed 21:04:22.67
     583   -202.02656517   -206.53292759    318.75  2022-01-12 Wed 21:04:33.33
     584   -202.02655373   -206.53178137    319.01  2022-01-12 Wed 21:04:43.95
     585   -202.02654174   -206.53082463    319.48  2022-01-12 Wed 21:04:54.52
     586   -202.02653158   -206.53029455    320.08  2022-01-12 Wed 21:05:05.10
     587   -202.02652566   -206.53037075    320.57  2022-01-12 Wed 21:05:15.90
     588   -202.02652592   -206.53112946    320.51  2022-01-12 Wed 21:05:26.34
     589   -202.02653241   -206.53255250    320.44  2022-01-12 Wed 21:05:36.79
     590   -202.02654328   -206.53446541    320.90  2022-01-12 Wed 21:05:48.44
     591   -202.02655477   -206.53646684    320.78  2022-01-12 Wed 21:05:59.66
     592   -202.02656479   -206.53814480    319.29  2022-01-12 Wed 21:06:10.49
     593   -202.02657287   -206.53934446    317.21  2022-01-12 Wed 21:06:21.14
     594   -202.02657863   -206.54014911    315.55  2022-01-12 Wed 21:06:31.80
     595   -202.02658277   -206.54070377    314.61  2022-01-12 Wed 21:06:42.44
     596   -202.02658528   -206.54111292    314.29  2022-01-12 Wed 21:06:53.19
     597   -202.02658647   -206.54142633    314.39  2022-01-12 Wed 21:07:03.99
     598   -202.02658622   -206.54165917    314.79  2022-01-12 Wed 21:07:14.62
     599   -202.02658449   -206.54181123    315.39  2022-01-12 Wed 21:07:25.26
     600   -202.02658168   -206.54186696    315.91  2022-01-12 Wed 21:07:36.84
     601   -202.02657818   -206.54180110    315.52  2022-01-12 Wed 21:07:47.59
     602   -202.02657455   -206.54165133    313.74  2022-01-12 Wed 21:07:58.21
     603   -202.02657155   -206.54154266    311.52  2022-01-12 Wed 21:08:09.22
     604   -202.02656954   -206.54156103    309.77  2022-01-12 Wed 21:08:19.65
     605   -202.02656803   -206.54168577    308.46  2022-01-12 Wed 21:08:30.12
     606   -202.02656703   -206.54184768    307.22  2022-01-12 Wed 21:08:40.57
     607   -202.02656590   -206.54200164    306.10  2022-01-12 Wed 21:08:51.14
     608   -202.02656473   -206.54214834    305.33  2022-01-12 Wed 21:09:01.73
     609   -202.02656337   -206.54231154    304.91  2022-01-12 Wed 21:09:12.32
     610   -202.02656217   -206.54250944    305.15  2022-01-12 Wed 21:09:23.09
     611   -202.02656110   -206.54273714    306.82  2022-01-12 Wed 21:09:33.74
     612   -202.02656087   -206.54297457    308.96  2022-01-12 Wed 21:09:44.62
     613   -202.02656130   -206.54322541    309.21  2022-01-12 Wed 21:09:55.38
     614   -202.02656376   -206.54347261    308.40  2022-01-12 Wed 21:10:06.63
     615   -202.02656744   -206.54364008    307.08  2022-01-12 Wed 21:10:17.53
     616   -202.02657127   -206.54364664    305.41  2022-01-12 Wed 21:10:28.35
     617   -202.02657373   -206.54342441    303.95  2022-01-12 Wed 21:10:39.07
     618   -202.02657411   -206.54291565    302.73  2022-01-12 Wed 21:10:49.77
     619   -202.02657234   -206.54208296    301.39  2022-01-12 Wed 21:11:00.45
     620   -202.02656899   -206.54092861    299.70  2022-01-12 Wed 21:11:11.05
     621   -202.02656410   -206.53951841    297.75  2022-01-12 Wed 21:11:21.92
     622   -202.02655743   -206.53797613    295.96  2022-01-12 Wed 21:11:32.87
     623   -202.02654951   -206.53644591    294.65  2022-01-12 Wed 21:11:43.57
     624   -202.02654161   -206.53507966    293.79  2022-01-12 Wed 21:11:54.11
     625   -202.02653500   -206.53405697    293.27  2022-01-12 Wed 21:12:04.75
     626   -202.02653201   -206.53356987    293.38  2022-01-12 Wed 21:12:15.35
     627   -202.02653331   -206.53374336    294.28  2022-01-12 Wed 21:12:27.18
     628   -202.02653862   -206.53451985    295.60  2022-01-12 Wed 21:12:38.01
     629   -202.02654575   -206.53559821    296.29  2022-01-12 Wed 21:12:49.92
     630   -202.02655253   -206.53660551    295.71  2022-01-12 Wed 21:13:00.92
     631   -202.02655831   -206.53737878    294.56  2022-01-12 Wed 21:13:11.60
     632   -202.02656298   -206.53798470    293.68  2022-01-12 Wed 21:13:22.40
     633   -202.02656702   -206.53855850    293.36  2022-01-12 Wed 21:13:33.20
     634   -202.02657060   -206.53919036    293.47  2022-01-12 Wed 21:13:43.98
     635   -202.02657385   -206.53989766    293.68  2022-01-12 Wed 21:13:54.84
     636   -202.02657655   -206.54065282    293.73  2022-01-12 Wed 21:14:05.64
     637   -202.02657866   -206.54142425    293.59  2022-01-12 Wed 21:14:16.33
     638   -202.02658037   -206.54218765    293.44  2022-01-12 Wed 21:14:27.22
     639   -202.02658187   -206.54290362    293.44  2022-01-12 Wed 21:14:38.03
     640   -202.02658310   -206.54349267    293.46  2022-01-12 Wed 21:14:48.78
     641   -202.02658363   -206.54384961    293.25  2022-01-12 Wed 21:14:59.51
     642   -202.02658243   -206.54392606    292.73  2022-01-12 Wed 21:15:10.32
     643   -202.02657934   -206.54381249    292.33  2022-01-12 Wed 21:15:21.04
     644   -202.02657577   -206.54368499    292.47  2022-01-12 Wed 21:15:31.79
     645   -202.02657326   -206.54366208    292.87  2022-01-12 Wed 21:15:42.60
     646   -202.02657262   -206.54374169    292.96  2022-01-12 Wed 21:15:53.47
     647   -202.02657185   -206.54385150    292.76  2022-01-12 Wed 21:16:04.27
     648   -202.02657086   -206.54392171    292.50  2022-01-12 Wed 21:16:14.90
     649   -202.02656804   -206.54391931    292.17  2022-01-12 Wed 21:16:25.48
     650   -202.02656432   -206.54384269    291.99  2022-01-12 Wed 21:16:36.09
     651   -202.02655987   -206.54369877    292.50  2022-01-12 Wed 21:16:46.70
     652   -202.02655524   -206.54349733    294.08  2022-01-12 Wed 21:16:57.30
     653   -202.02655112   -206.54326037    296.90  2022-01-12 Wed 21:17:08.73
     654   -202.02654761   -206.54301826    300.75  2022-01-12 Wed 21:17:19.57
     655   -202.02654529   -206.54279704    304.31  2022-01-12 Wed 21:17:30.15
     656   -202.02654416   -206.54261670    305.81  2022-01-12 Wed 21:17:41.03
     657   -202.02654456   -206.54249474    305.71  2022-01-12 Wed 21:17:51.61
     658   -202.02654615   -206.54242059    305.95  2022-01-12 Wed 21:18:02.84
     659   -202.02654808   -206.54232682    307.31  2022-01-12 Wed 21:18:13.69
     660   -202.02654935   -206.54212816    309.01  2022-01-12 Wed 21:18:25.53
     661   -202.02654924   -206.54178907    310.05  2022-01-12 Wed 21:18:36.30
     662   -202.02654740   -206.54131706    310.33  2022-01-12 Wed 21:18:47.24
     663   -202.02654337   -206.54067107    310.26  2022-01-12 Wed 21:18:57.96
     664   -202.02653740   -206.53972004    309.89  2022-01-12 Wed 21:19:09.91
     665   -202.02652898   -206.53840387    308.27  2022-01-12 Wed 21:19:21.30
     666   -202.02651831   -206.53693851    305.13  2022-01-12 Wed 21:19:32.50
     667   -202.02650782   -206.53568604    301.81  2022-01-12 Wed 21:19:43.30
     668   -202.02649946   -206.53485596    299.23  2022-01-12 Wed 21:19:54.13
     669   -202.02649414   -206.53444102    297.15  2022-01-12 Wed 21:20:04.86
     670   -202.02649174   -206.53436963    295.23  2022-01-12 Wed 21:20:15.78
     671   -202.02649227   -206.53465470    293.75  2022-01-12 Wed 21:20:26.54
     672   -202.02649535   -206.53540416    293.44  2022-01-12 Wed 21:20:37.30
     673   -202.02650170   -206.53663283    293.94  2022-01-12 Wed 21:20:48.17
     674   -202.02650922   -206.53806768    293.19  2022-01-12 Wed 21:20:58.97
     675   -202.02651594   -206.53944528    292.08  2022-01-12 Wed 21:21:09.66
     676   -202.02652130   -206.54070078    291.79  2022-01-12 Wed 21:21:20.41
     677   -202.02652580   -206.54180920    292.09  2022-01-12 Wed 21:21:31.16
     678   -202.02653009   -206.54271732    292.58  2022-01-12 Wed 21:21:41.95
     679   -202.02653378   -206.54331451    292.78  2022-01-12 Wed 21:21:52.64
     680   -202.02653569   -206.54343200    292.36  2022-01-12 Wed 21:22:03.39
     681   -202.02653522   -206.54293785    291.60  2022-01-12 Wed 21:22:14.16
     682   -202.02653256   -206.54184684    291.06  2022-01-12 Wed 21:22:24.88
     683   -202.02652817   -206.54031106    290.92  2022-01-12 Wed 21:22:35.60
     684   -202.02652276   -206.53854728    291.01  2022-01-12 Wed 21:22:46.29
     685   -202.02651804   -206.53678402    291.28  2022-01-12 Wed 21:22:57.01
     686   -202.02651444   -206.53523290    291.88  2022-01-12 Wed 21:23:07.82
     687   -202.02651264   -206.53406259    292.83  2022-01-12 Wed 21:23:18.58
     688   -202.02651245   -206.53334327    293.78  2022-01-12 Wed 21:23:29.39
     689   -202.02651253   -206.53299678    294.15  2022-01-12 Wed 21:23:40.03
     690   -202.02651275   -206.53290410    293.82  2022-01-12 Wed 21:23:50.74
     691   -202.02651429   -206.53306913    293.53  2022-01-12 Wed 21:24:01.83
     692   -202.02651811   -206.53353565    294.03  2022-01-12 Wed 21:24:13.06
