==============================================================================
    step     energy [au]  potential [au]  temp [K]  wall clock time           
      78   -202.02705935   -206.54290808    314.13  2022-01-12 Wed 19:34:07.06
      79   -202.02705276   -206.54129756    313.83  2022-01-12 Wed 19:34:17.89
      80   -202.02704698   -206.53982429    314.86  2022-01-12 Wed 19:34:28.77
      81   -202.02704172   -206.53850394    316.53  2022-01-12 Wed 19:34:39.72
      82   -202.02703666   -206.53734907    318.02  2022-01-12 Wed 19:34:50.42
      83   -202.02703176   -206.53637298    318.79  2022-01-12 Wed 19:35:01.11
      84   -202.02702763   -206.53561748    318.75  2022-01-12 Wed 19:35:12.68
      85   -202.02702520   -206.53517821    318.23  2022-01-12 Wed 19:35:23.11
      86   -202.02702541   -206.53514655    317.70  2022-01-12 Wed 19:35:33.64
      87   -202.02702830   -206.53553436    317.20  2022-01-12 Wed 19:35:44.70
      88   -202.02703305   -206.53626324    316.72  2022-01-12 Wed 19:35:55.72
      89   -202.02703838   -206.53719743    315.67  2022-01-12 Wed 19:36:06.21
      90   -202.02704314   -206.53819362    313.46  2022-01-12 Wed 19:36:16.77
      91   -202.02704634   -206.53914112    310.41  2022-01-12 Wed 19:36:27.46
      92   -202.02704781   -206.53997870    307.41  2022-01-12 Wed 19:36:38.15
      93   -202.02704773   -206.54069352    305.05  2022-01-12 Wed 19:36:48.92
      94   -202.02704668   -206.54130675    303.49  2022-01-12 Wed 19:36:59.67
      95   -202.02704561   -206.54184027    302.70  2022-01-12 Wed 19:37:10.48
      96   -202.02704494   -206.54228250    302.21  2022-01-12 Wed 19:37:21.19
      97   -202.02704444   -206.54258466    301.30  2022-01-12 Wed 19:37:31.92
      98   -202.02704326   -206.54267246    299.70  2022-01-12 Wed 19:37:42.75
      99   -202.02704065   -206.54244340    297.57  2022-01-12 Wed 19:37:53.51
     100   -202.02703603   -206.54177804    295.16  2022-01-12 Wed 19:38:04.24
     101   -202.02702938   -206.54059656    292.79  2022-01-12 Wed 19:38:15.00
     102   -202.02702066   -206.53894181    290.73  2022-01-12 Wed 19:38:25.83
     103   -202.02701061   -206.53700789    289.26  2022-01-12 Wed 19:38:36.60
     104   -202.02700072   -206.53505037    288.33  2022-01-12 Wed 19:38:47.78
     105   -202.02699235   -206.53328288    287.86  2022-01-12 Wed 19:38:58.47
     106   -202.02698572   -206.53184046    288.32  2022-01-12 Wed 19:39:09.12
     107   -202.02698095   -206.53077366    289.84  2022-01-12 Wed 19:39:19.82
     108   -202.02697804   -206.53006574    291.23  2022-01-12 Wed 19:39:30.44
     109   -202.02697658   -206.52969745    291.46  2022-01-12 Wed 19:39:41.12
     110   -202.02697703   -206.52970233    291.36  2022-01-12 Wed 19:39:51.77
     111   -202.02697918   -206.53014519    291.96  2022-01-12 Wed 19:40:02.29
     112   -202.02698270   -206.53106538    293.56  2022-01-12 Wed 19:40:12.93
     113   -202.02698770   -206.53243070    296.21  2022-01-12 Wed 19:40:23.44
     114   -202.02699361   -206.53410813    299.32  2022-01-12 Wed 19:40:33.97
     115   -202.02700001   -206.53590552    301.51  2022-01-12 Wed 19:40:44.81
     116   -202.02700768   -206.53770791    302.22  2022-01-12 Wed 19:40:55.44
     117   -202.02701652   -206.53946703    302.03  2022-01-12 Wed 19:41:06.00
     118   -202.02702552   -206.54105065    301.00  2022-01-12 Wed 19:41:16.61
     119   -202.02703273   -206.54225951    299.17  2022-01-12 Wed 19:41:27.19
     120   -202.02703711   -206.54295275    297.06  2022-01-12 Wed 19:41:37.75
     121   -202.02703838   -206.54310573    295.39  2022-01-12 Wed 19:41:48.32
     122   -202.02703652   -206.54277330    294.59  2022-01-12 Wed 19:41:58.84
     123   -202.02703169   -206.54202636    294.60  2022-01-12 Wed 19:42:09.40
     124   -202.02702472   -206.54093209    294.77  2022-01-12 Wed 19:42:20.04
     125   -202.02701632   -206.53958706    294.26  2022-01-12 Wed 19:42:30.70
     126   -202.02700850   -206.53814028    292.86  2022-01-12 Wed 19:42:41.33
     127   -202.02700248   -206.53676802    290.76  2022-01-12 Wed 19:42:52.18
     128   -202.02699881   -206.53563668    288.49  2022-01-12 Wed 19:43:02.70
     129   -202.02699792   -206.53485743    286.78  2022-01-12 Wed 19:43:13.14
     130   -202.02699924   -206.53446009    285.92  2022-01-12 Wed 19:43:23.67
     131   -202.02700240   -206.53442884    285.90  2022-01-12 Wed 19:43:34.22
     132   -202.02700732   -206.53474696    286.85  2022-01-12 Wed 19:43:44.77
     133   -202.02701326   -206.53539747    289.10  2022-01-12 Wed 19:43:55.41
     134   -202.02702039   -206.53629665    292.43  2022-01-12 Wed 19:44:06.03
     135   -202.02702732   -206.53720759    295.13  2022-01-12 Wed 19:44:16.72
     136   -202.02703278   -206.53784371    296.26  2022-01-12 Wed 19:44:27.72
     137   -202.02703606   -206.53804841    296.31  2022-01-12 Wed 19:44:38.43
     138   -202.02703694   -206.53780635    295.73  2022-01-12 Wed 19:44:49.44
     139   -202.02703562   -206.53717495    295.01  2022-01-12 Wed 19:45:00.09
     140   -202.02703278   -206.53622680    294.19  2022-01-12 Wed 19:45:11.76
     141   -202.02702822   -206.53503319    293.39  2022-01-12 Wed 19:45:22.51
     142   -202.02702193   -206.53368890    293.64  2022-01-12 Wed 19:45:33.07
     143   -202.02701351   -206.53231448    295.44  2022-01-12 Wed 19:45:43.66
     144   -202.02700471   -206.53099734    298.32  2022-01-12 Wed 19:45:54.27
     145   -202.02699598   -206.52971571    300.76  2022-01-12 Wed 19:46:04.89
     146   -202.02698819   -206.52836170    301.46  2022-01-12 Wed 19:46:15.54
     147   -202.02698111   -206.52688015    301.36  2022-01-12 Wed 19:46:26.19
     148   -202.02697469   -206.52533703    301.79  2022-01-12 Wed 19:46:36.82
     149   -202.02696923   -206.52385488    302.85  2022-01-12 Wed 19:46:47.63
     150   -202.02696471   -206.52253357    304.11  2022-01-12 Wed 19:46:58.60
     151   -202.02696133   -206.52141421    305.36  2022-01-12 Wed 19:47:09.42
     152   -202.02695923   -206.52048190    306.93  2022-01-12 Wed 19:47:20.16
     153   -202.02695798   -206.51968684    308.70  2022-01-12 Wed 19:47:30.87
     154   -202.02695743   -206.51901386    309.12  2022-01-12 Wed 19:47:41.93
     155   -202.02695739   -206.51856546    307.39  2022-01-12 Wed 19:47:52.67
     156   -202.02695769   -206.51848930    305.23  2022-01-12 Wed 19:48:03.45
     157   -202.02695841   -206.51881364    303.96  2022-01-12 Wed 19:48:14.21
