====================================================================
   i   j      r [au]   pdf: d(r)   rdf: g(r)   cn: n1(r)   cn: n2(r)
   1   1      2.4800      0.0002      0.0050      1.3716      1.3716
   1   1      2.4900      0.0002      0.0054      1.3716      1.3716
   1   1      2.5000      0.0002      0.0073      1.3717      1.3717
   1   1      2.5100      0.0003      0.0092      1.3718      1.3718
   1   1      2.5200      0.0003      0.0086      1.3719      1.3719
   1   1      2.5300      0.0003      0.0095      1.3720      1.3720
   1   1      2.5400      0.0003      0.0080      1.3721      1.3721
   1   1      2.5500      0.0005      0.0150      1.3723      1.3723
   1   1      2.5600      0.0004      0.0112      1.3725      1.3725
   1   1      2.5700      0.0008      0.0231      1.3727      1.3727
   1   1      2.5800      0.0007      0.0202      1.3730      1.3730
   1   1      2.5900      0.0007      0.0195      1.3732      1.3732
   1   1      2.6000      0.0011      0.0316      1.3736      1.3736
   1   1      2.6100      0.0011      0.0300      1.3740      1.3740
   1   1      2.6200      0.0012      0.0333      1.3745      1.3745
   1   1      2.6300      0.0018      0.0502      1.3751      1.3751
   1   1      2.6400      0.0019      0.0521      1.3758      1.3758
   1   1      2.6500      0.0021      0.0582      1.3765      1.3765
   1   1      2.6600      0.0026      0.0694      1.3775      1.3775
   1   1      2.6700      0.0027      0.0727      1.3784      1.3784
   1   1      2.6800      0.0031      0.0823      1.3795      1.3795
   1   1      2.6900      0.0037      0.0986      1.3809      1.3809
   1   1      2.7000      0.0044      0.1154      1.3825      1.3825
   1   1      2.7100      0.0040      0.1054      1.3839      1.3839
   1   1      2.7200      0.0048      0.1240      1.3856      1.3856
   1   1      2.7300      0.0053      0.1358      1.3875      1.3875
   1   1      2.7400      0.0060      0.1539      1.3897      1.3897
   1   1      2.7500      0.0081      0.2060      1.3926      1.3926
   1   1      2.7600      0.0093      0.2353      1.3960      1.3960
   1   1      2.7700      0.0105      0.2618      1.3997      1.3997
   1   1      2.7800      0.0124      0.3089      1.4042      1.4042
   1   1      2.7900      0.0135      0.3321      1.4091      1.4091
   1   1      2.8000      0.0167      0.4079      1.4151      1.4151
   1   1      2.8100      0.0189      0.4606      1.4219      1.4219
   1   1      2.8200      0.0221      0.5332      1.4298      1.4298
   1   1      2.8300      0.0230      0.5504      1.4381      1.4381
   1   1      2.8400      0.0272      0.6482      1.4479      1.4479
   1   1      2.8500      0.0305      0.7214      1.4589      1.4589
   1   1      2.8600      0.0367      0.8624      1.4721      1.4721
   1   1      2.8700      0.0408      0.9519      1.4868      1.4868
   1   1      2.8800      0.0450      1.0412      1.5030      1.5030
   1   1      2.8900      0.0483      1.1118      1.5204      1.5204
   1   1      2.9000      0.0533      1.2169      1.5396      1.5396
   1   1      2.9100      0.0616      1.3968      1.5617      1.5617
   1   1      2.9200      0.0665      1.4977      1.5857      1.5857
   1   1      2.9300      0.0707      1.5813      1.6111      1.6111
   1   1      2.9400      0.0752      1.6700      1.6382      1.6382
   1   1      2.9500      0.0809      1.7848      1.6673      1.6673
   1   1      2.9600      0.0868      1.9018      1.6985      1.6985
   1   1      2.9700      0.0945      2.0577      1.7325      1.7325
   1   1      2.9800      0.0996      2.1545      1.7684      1.7684
   1   1      2.9900      0.1018      2.1878      1.8051      1.8051
   1   1      3.0000      0.1087      2.3189      1.8442      1.8442
   1   1      3.0100      0.1090      2.3096      1.8834      1.8834
   1   1      3.0200      0.1119      2.3565      1.9237      1.9237
   1   1      3.0300      0.1153      2.4130      1.9652      1.9652
   1   1      3.0400      0.1168      2.4265      2.0073      2.0073
   1   1      3.0500      0.1208      2.4949      2.0508      2.0508
   1   1      3.0600      0.1232      2.5268      2.0951      2.0951
   1   1      3.0700      0.1246      2.5398      2.1400      2.1400
   1   1      3.0800      0.1247      2.5239      2.1849      2.1849
   1   1      3.0900      0.1269      2.5523      2.2305      2.2305
   1   1      3.1000      0.1243      2.4851      2.2753      2.2753
   1   1      3.1100      0.1202      2.3860      2.3186      2.3186
   1   1      3.1200      0.1171      2.3109      2.3607      2.3607
   1   1      3.1300      0.1183      2.3185      2.4033      2.4033
   1   1      3.1400      0.1157      2.2543      2.4450      2.4450
   1   1      3.1500      0.1122      2.1721      2.4854      2.4854
   1   1      3.1600      0.1084      2.0842      2.5244      2.5244
   1   1      3.1700      0.1044      1.9950      2.5620      2.5620
   1   1      3.1800      0.1020      1.9366      2.5987      2.5987
   1   1      3.1900      0.0973      1.8361      2.6337      2.6337
   1   1      3.2000      0.0964      1.8074      2.6684      2.6684
   1   1      3.2100      0.0930      1.7340      2.7019      2.7019
   1   1      3.2200      0.0878      1.6265      2.7335      2.7335
   1   1      3.2300      0.0858      1.5794      2.7644      2.7644
   1   1      3.2400      0.0781      1.4285      2.7925      2.7925
   1   1      3.2500      0.0802      1.4578      2.8213      2.8213
   1   1      3.2600      0.0740      1.3382      2.8480      2.8480
   1   1      3.2700      0.0734      1.3180      2.8744      2.8744
   1   1      3.2800      0.0670      1.1964      2.8985      2.8985
   1   1      3.2900      0.0643      1.1407      2.9217      2.9217
   1   1      3.3000      0.0621      1.0960      2.9441      2.9441
   1   1      3.3100      0.0595      1.0426      2.9655      2.9655
   1   1      3.3200      0.0584      1.0178      2.9865      2.9865
   1   1      3.3300      0.0564      0.9765      3.0068      3.0068
   1   1      3.3400      0.0526      0.9054      3.0257      3.0257
   1   1      3.3500      0.0529      0.9048      3.0448      3.0448
   1   1      3.3600      0.0525      0.8930      3.0637      3.0637
   1   1      3.3700      0.0517      0.8748      3.0823      3.0823
   1   1      3.3800      0.0480      0.8069      3.0996      3.0996
   1   1      3.3900      0.0452      0.7550      3.1158      3.1158
   1   1      3.4000      0.0468      0.7769      3.1327      3.1327
   1   1      3.4100      0.0442      0.7304      3.1486      3.1486
   1   1      3.4200      0.0415      0.6821      3.1635      3.1635
   1   1      3.4300      0.0404      0.6600      3.1781      3.1781
   1   1      3.4400      0.0385      0.6242      3.1919      3.1919
   1   1      3.4500      0.0362      0.5845      3.2050      3.2050
   1   1      3.4600      0.0374      0.5997      3.2184      3.2184
   1   1      3.4700      0.0334      0.5322      3.2304      3.2304
   1   1      3.4800      0.0328      0.5196      3.2422      3.2422
   1   1      3.4900      0.0314      0.4953      3.2535      3.2535
   1   1      3.5000      0.0310      0.4863      3.2647      3.2647
   1   1      3.5100      0.0286      0.4461      3.2750      3.2750
   1   1      3.5200      0.0270      0.4178      3.2847      3.2847
   1   1      3.5300      0.0268      0.4132      3.2944      3.2944
   1   1      3.5400      0.0251      0.3846      3.3034      3.3034
