 --- primitive lattice vectors ---
     hbarW= -0.14018367E-04 Ha = -0.38145917E-03 eV; nu= -0.30766760E+01 cm^-1
    25  -0.0550295384  0.0391953752  0.3532265121
    26  -0.0685332091  0.0429356393  0.3412903533
    27  -0.0523752548  0.0440801799  0.3072125017
    28  -0.0535489739  0.0388798660  0.3005325755
    29  -0.0632008226  0.0365133230  0.3322094058
    30  -0.0625995192  0.0476912055  0.3645137040
    31  -0.0584550196  0.0406091912  0.3178176081
    32  -0.0534173994  0.0429458274  0.3511985651
    33  -0.0647836285  0.0123087043  0.1491072343
    34  -0.0690416351  0.0115793203  0.1546445651
    35  -0.0188413478  0.0027483407  0.0382748041
    36  -0.0210735367  0.0023109378  0.0410206953
    37  -0.0188822480  0.0043582602  0.0476243001
    38  -0.0211475849  0.0039847473  0.0505226119
 n=     6 A   IR&R
     hbarW= -0.11510775E-04 Ha = -0.31322412E-03 eV; nu= -0.25263232E+01 cm^-1
    25  -0.3361671155  0.0204578945 -0.0984163012
    26  -0.3452803846  0.0251777589 -0.0464759569
    27  -0.3371569571  0.0166093240 -0.0594015214
    28  -0.3374054616  0.0293914853 -0.0786685987
    29  -0.3271038574  0.0182925903 -0.0726218925
    30  -0.3268433833  0.0287063658 -0.0464636562
    31  -0.3265904040  0.0215202155 -0.0406333694
    32  -0.3206507511  0.0241714978 -0.0875511295
    33  -0.1719180987  0.0051471947 -0.0391380986
    34  -0.1759789843  0.0051151782 -0.0355210292
    35  -0.0496750241  0.0004255623 -0.0160313263
    36  -0.0517893686  0.0008422605 -0.0138467343
    37  -0.0497129741  0.0023855819 -0.0080996353
    38  -0.0518703529  0.0019908207 -0.0060485019
 n=     7 A   IR&R
     hbarW=  0.94503092E-04 Ha =  0.25715599E-02 eV; nu=  0.20741032E+02 cm^-1
    25  -0.1163543107  0.0116346013  0.0084832001
    26   0.0591887008  0.0004291863  0.0419795746
    27  -0.1023007890  0.0367112909  0.2167172062
    28  -0.1020381147 -0.0275033959  0.2786764724
    29  -0.0934597428  0.0366311144 -0.1707515331
    30  -0.0971359912 -0.0296681468 -0.2374747012
    31  -0.1090299696  0.0074295479  0.0488960183
    32  -0.1579196669  0.0038521273  0.0023610300
    33   0.5288862580  0.0144118805  0.0118890172
    34   0.5368854940  0.0145374081  0.0047252799
    35   0.1600569256  0.0044626572  0.0632824245
    36   0.1641583751  0.0071220278  0.0584102057
    37   0.1610451180  0.0040297039 -0.0536239551
    38   0.1653388336  0.0015520551 -0.0581024212
 n=     8 A   IR&R
     hbarW=  0.13860938E-03 Ha =  0.37717530E-02 eV; nu=  0.30421243E+02 cm^-1
    25   0.0217949436 -0.0055898815 -0.7528932180
    26   0.0138426189 -0.0054405506  0.4796789676
    27  -0.0732421601 -0.0315083068  0.1046330803
    28  -0.0691937656  0.0188315003  0.0756028861
    29   0.0993689869  0.0251247360  0.1263373110
    30   0.1031351377 -0.0340754711  0.1839307166
    31   0.0082381834 -0.0053101527  0.1848523163
    32   0.0127680518 -0.0065649044 -0.2338254848
    33   0.0109673674  0.0010783382 -0.0735808119
    34   0.0052765988 -0.0009885595 -0.0730503089
    35   0.0034482645 -0.0008096214 -0.0230714374
    36   0.0004493386 -0.0014060997 -0.0227066152
    37   0.0041568768  0.0014228639 -0.0219944837
    38   0.0011405236  0.0008295592 -0.0214136085
 n=     9 A   IR&R
     hbarW=  0.15507151E-03 Ha =  0.42197103E-02 eV; nu=  0.34034263E+02 cm^-1
    25  -0.0164326428  0.0230750916 -0.0176876965
    26  -0.0175726721 -0.1169340217  0.0571102866
    27   0.0052127275 -0.0618841600 -0.3290189920
    28  -0.0024731429 -0.0401214666  0.5414085365
    29   0.0204042450 -0.0639178431  0.3842871084
    30   0.0074348214 -0.0386610243 -0.5918250155
    31   0.0348604907  0.0020754065  0.0435823558
    32   0.0224047211 -0.0365132755 -0.0114600524
    33  -0.1244346763  0.1062866851  0.0362040513
    34  -0.1133631039  0.1057475222 -0.0414562152
    35  -0.0384881948  0.0352271062  0.0164378892
    36  -0.0327512908  0.0342379060 -0.0311198215
    37  -0.0387815929  0.0301997931  0.0292256022
    38  -0.0326300673  0.0310753478 -0.0192431231
 n=    10 A   IR&R
