189 189
0 0 0 100 1
-1 1 1 100 1
-2 2 2 100 1
-3 3 3 100 1
-4 4 4 100 1
-5 5 5 100 1
-6 6 6 100 1
-7 7 7 100 1
-8 8 8 100 1
-9 9 9 100 1
-10 10 10 100 1
-11 11 11 100 1
-12 12 12 100 1
-13 13 13 100 1
-14 14 14 100 1
-15 15 15 100 1
-16 16 16 100 1
-17 17 17 100 1
-18 18 18 100 1
-19 19 19 100 1
-20 20 20 100 1
-21 21 21 100 1
-22 22 22 100 1
-23 23 23 100 1
-24 24 24 100 1
-25 25 25 100 1
-26 26 26 100 1
-27 27 27 100 1
-28 28 28 100 1
-29 29 29 100 1
-30 30 30 100 1
-31 31 31 100 1
-32 32 32 100 1
-33 33 33 100 1
-34 34 34 100 1
-35 35 35 100 1
-36 36 36 100 1
-37 37 37 100 1
-38 38 38 100 1
-39 39 39 100 1
-40 40 40 100 1
-41 41 41 100 1
-42 42 42 100 1
-43 43 43 100 1
-44 44 44 100 1
-45 45 45 100 1
-46 46 46 100 1
-47 47 47 100 1
-48 48 48 100 1
-49 49 49 100 1
-50 50 50 100 1
-68 68 70 140 1
-66 66 70 140 1
-64 64 70 140 1
-62 62 70 140 1
-60 60 70 140 1
-58 58 70 140 1
-56 56 70 140 1
-54 54 70 140 1
-52 52 70 140 1
-50 50 70 140 1
-48 48 70 140 1
-46 46 70 140 1
-44 44 70 140 1
-42 42 70 140 1
-40 40 70 140 1
-38 38 70 140 1
-36 36 70 140 1
-34 34 70 140 1
-32 32 70 140 1
-30 30 70 140 1
-28 28 70 140 1
-26 26 70 140 1
-24 24 70 140 1
-22 22 70 140 1
-20 20 70 140 1
-18 18 70 140 1
-16 16 70 140 1
-14 14 70 140 1
-12 12 70 140 1
-10 10 70 140 1
-8 8 70 140 1
-6 6 70 140 1
-4 4 70 140 1
-2 2 70 140 1
0 0 70 140 1
2 2 98 200 1
4 4 96 200 1
6 6 94 200 1
8 8 92 200 1
10 10 90 200 1
12 12 88 200 1
14 14 86 200 1
16 16 84 200 1
18 18 82 200 1
20 20 80 200 1
22 22 78 200 1
24 24 76 200 1
26 26 74 200 1
28 28 72 200 1
30 30 70 200 1
32 32 68 200 1
34 34 66 200 1
36 36 64 200 1
38 38 62 200 1
40 40 60 200 1
42 42 58 200 1
44 44 56 200 1
46 46 54 200 1
48 48 52 200 1
50 50 50 200 1
42 42 42 172 1
41 41 41 172 1
40 40 40 172 1
39 39 39 172 1
38 38 38 172 1
37 37 37 172 1
36 36 36 172 1
35 35 35 172 1
34 34 34 172 1
33 33 33 172 1
32 32 32 172 1
31 31 31 172 1
30 30 30 172 1
29 29 29 172 1
28 28 28 172 1
27 27 27 172 1
26 26 26 172 1
25 25 25 172 1
24 24 24 172 1
23 23 23 172 1
22 22 22 172 1
21 21 21 172 1
20 20 20 172 1
19 19 19 172 1
18 18 18 172 1
17 17 17 172 1
16 16 16 172 1
15 15 15 172 1
14 14 14 172 1
13 13 13 172 1
12 12 12 172 1
11 11 11 172 1
10 10 10 172 1
9 9 9 172 1
8 8 8 172 1
7 7 7 172 1
6 6 6 172 1
5 5 5 172 1
4 4 4 172 1
3 3 3 172 1
2 2 2 172 1
1 1 1 172 1
0 0 0 172 1
0 0 1 70 1
0 0 2 70 1
0 0 3 70 1
0 0 4 70 1
0 0 5 70 1
0 0 6 70 1
0 0 7 70 1
0 0 8 70 1
0 0 9 70 1
0 0 10 70 1
0 0 11 70 1
0 0 12 70 1
0 0 13 70 1
0 0 14 70 1
0 0 15 70 1
0 0 16 70 1
0 0 17 70 1
0 0 18 70 1
0 0 19 70 1
0 0 20 70 1
0 0 21 70 1
0 0 22 70 1
0 0 23 70 1
0 0 24 70 1
0 0 25 70 1
0 0 26 70 1
0 0 27 70 1
0 0 28 70 1
0 0 29 70 1
0 0 30 70 1
0 0 31 70 1
0 0 32 70 1
0 0 33 70 1
0 0 34 70 1
0 0 35 70 1
