44 44
0 12 12 24 1
0 11 11 24 1
0 10 10 24 1
0 9 9 24 1
0 8 8 24 1
0 7 7 24 1
0 6 6 24 1
0 5 5 24 1
0 4 4 24 1
0 3 3 24 1
0 2 2 24 1
0 1 1 24 1
0 0 0 24 1
1 1 1 12 1
2 2 2 12 1
3 3 3 12 1
4 4 4 12 1
5 5 5 12 1
6 6 6 12 1
2422 2422 2656 5000 1
2344 2344 2812 5000 1
2266 2266 2968 5000 1
2188 2188 3124 5000 1
2110 2110 3280 5000 1
2032 2032 3436 5000 1
1954 1954 3592 5000 1
1876 1876 3748 5000 1
1798 1798 3904 5000 1
1720 1720 4060 5000 1
516 516 1468 2000 1
344 344 1312 2000 1
172 172 1156 2000 1
0 0 1000 2000 1
0 0 10 22 1
0 0 9 22 1
0 0 8 22 1
0 0 7 22 1
0 0 6 22 1
0 0 5 22 1
0 0 4 22 1
0 0 3 22 1
0 0 2 22 1
0 0 1 22 1
0 0 0 22 1
