 --- primitive lattice vectors ---
    34  -0.0595513261  0.0253945398 -0.0881777639
    35  -0.0162600990  0.0065994928 -0.0269259121
    36  -0.0174438282  0.0069055072 -0.0250961462
    37  -0.0162417116  0.0076496377 -0.0272753781
    38  -0.0174181464  0.0075931916 -0.0255465665
 n=     4 A   IR&R
     hbarW= -0.41042892E-05 Ha = -0.11168339E-03 eV; nu= -0.90078739E+00 cm^-1
    17  -0.2005031728  0.0005171328  0.1385691566
    18  -0.2014222195  0.0004526737  0.1429734157
    19  -0.2018000505  0.0013180887  0.1430378886
    20  -0.2018663842  0.0002152138  0.1445039783
    21  -0.2017013876  0.0010562594  0.1415758040
    22  -0.2009488028  0.0010782776  0.1447287300
    23  -0.2003313898  0.0009051728  0.1419271293
    24  -0.2002555249  0.0007812503  0.1435838485
    25  -0.2013044044  0.0009262487  0.1427520323
    26  -0.2011499424  0.0001726862  0.1436495866
    27  -0.2006670399  0.0023691483  0.1428503658
    28  -0.2002553455 -0.0008187563  0.1415448149
    29  -0.2014331782 -0.0005330471  0.1440379123
    30  -0.2010716402  0.0020854825  0.1457220118
    31  -0.2004474440  0.0013359202  0.1413300235
    32  -0.1999779624  0.0009125113  0.1418603006
    33  -0.0899861308  0.0004370957  0.0603028757
    34  -0.0905191451  0.0002254546  0.0608867196
    35  -0.0259638301 -0.0000704535  0.0171609495
    36  -0.0262238023  0.0000770970  0.0175302414
    37  -0.0260087408  0.0003699496  0.0181804182
    38  -0.0262870338  0.0000047600  0.0184353649
 n=     5 A   IR&R
     hbarW=  0.14988450E-03 Ha =  0.40785646E-02 eV; nu=  0.32895846E+02 cm^-1
    17   0.0628368076 -0.0017924324 -0.0270137513
    18   0.0623508628 -0.0012168138  0.0279386050
    19   0.0500711619  0.0023887307 -0.0110988355
    20   0.0506045161 -0.0020312373 -0.0058760834
    21  -0.0159687669  0.0016619915 -0.0775132303
    22  -0.0231426242  0.0008806795  0.0872243955
    23   0.0436235229 -0.0016180061 -0.0036479310
    24   0.0436418959 -0.0001869896  0.0024965616
    25   0.0948080807 -0.0005980239  0.0006940820
    26   0.0134518225 -0.0002053007 -0.0036726232
    27   0.0550998890  0.0330017759 -0.0319159049
    28   0.0539071142 -0.0324846297 -0.0394150512
    29   0.0558797865  0.0302865103  0.0304919234
    30   0.0575649360 -0.0283756622  0.0347203322
    31   0.0338740587  0.0011870990 -0.0064532984
    32   0.0112744115  0.0017008829  0.0074741653
    33  -0.6211184554 -0.0074507733 -0.0050124549
    34  -0.6289916734 -0.0077284576 -0.0012782133
    35  -0.1866181061 -0.0020565121 -0.0549130196
    36  -0.1906386032 -0.0053532167 -0.0519414211
    37  -0.1874746477 -0.0022393668  0.0502424186
    38  -0.1916896455  0.0007644882  0.0525591319
 n=     6 A   IR&R
     hbarW=  0.22824814E-03 Ha =  0.62109477E-02 eV; nu=  0.50094677E+02 cm^-1
    17  -0.0099392388 -0.1280247322  0.0014932929
    18   0.0108759504 -0.1278407607  0.0028703473
